;1.SINIF;2.SINIF;3.SINIF;4.SINIF;5.SINIF;
>= 500;3,92;4,48;5,04;5,60;6,16;
1000;3,02;3,58;4,14;4,70;5,26;
2500;2,42;2,84;3,27;3,70;4,12;
5000;2,00;2,31;2,62;2,93;3,24;
7500;1,80;2,07;2,32;2,59;2,84;
10000;1,69;1,91;2,15;2,38;2,61;
12500;1,57;1,79;2,00;2,21;2,42;
15000;1,49;1,68;1,87;2,07;2,27;
17500;1,41;1,58;1,76;1,94;2,12;
20000;1,34;1,51;1,67;1,84;2,00;
22500;1,28;1,43;1,57;1,73;1,88;
25000;1,22;1,35;1,50;1,64;1,79;
27500;1,16;1,29;1,42;1,55;1,68;
30000;1,10;1,22;1,35;1,47;1,61;
32500;1,02;1,18;1,31;1,44;1,57;
35000;1,10;1,14;1,26;1,39;1,51;
37500;0,98;1,10;1,22;1,34;1,46;
40000;0,95;1,07;1,18;1,30;1,41;
42500;0,92;1,04;1,15;1,26;1,37;
45000;0,89;1,01;1,11;1,23;1,33;
47500;0,87;0,98;1,08;1,19;1,30;
50000;0,85;0,96;1,05;1,16;1,26;
52500;0,83;0,93;1,03;1,14;1,23;
55000;0,81;0,91;1,00;1,11;1,20;
57500;0,79;0,89;0,98;1,09;1,18;
60000;0,77;0,87;0,96;1,06;1,15;
62500;0,76;0,85;0,94;1,04;1,13;
65000;0,74;0,84;0,93;1,02;1,11;
67500;0,73;0,82;0,91;1,00;1,09;
70000;0,72;0,81;0,89;0,98;1,07;
72500;0,70;0,79;0,88;0,97;1,05;
75000;0,69;0,78;0,86;0,95;1,03;
77500;0,68;0,77;0,85;0,93;1,02;
80000;0,67;0,75;0,83;0,92;1,00;
>80000;0,67;0,75;0,83;0,92;1,00;
